ID,Description,Create Time,Author ID,Author Nickname,Music ID,Music Title,Digg Count,Share Count,Comment Count,Play Count,Engagement Rate
6813438818805435654,everytime... #whythough #whiteclaw #foryou #foryourfridge #fyp,1586377348,6723986786731983877,Scott Tweedie,6813422616976640774,original sound,58100,1133,299,270400,0.22016272189349112
6818979556641262854,"Mom brought a white claw to work thinking it was a sparkling water! Lol! Nice try, you’re not fooling anyone! 😂😂😂",1587667401,6784896431579169797,𝐊.,6818980264492944134,original sound,47600,4337,279,406700,0.1283894762724367
7222735678491168042,Episode 2: Stay #hydrated my friends #pov #stanley #povtiktoks #watertok #asmr #whiteclaw #fyp #fillup #thirsty #springtime #backyard #bbq,1681674212,6929159753210332165,The Unlikely Nerd,7064643531196860417,Good Vibes (Instrumental),76,4,6,2289,0.037570991699432066
7129972755419778310,From Water to White Claws lmao Stay Hydrated 🤣 #2twosis #whiteclaws #H2o #water,1660076149,6905189906184684545,Meh,7129972749205129990,original sound,2288,213,63,21900,0.11707762557077625
7016122659008220421,#igotthis #balance #whiteclaw #funny #drinks #water #goals #noalcohol #feelinggood,1633568356,6814248697238717445,Dee,7010104873886698246,TWINNEM,94,1,8,786,0.13104325699745548
6825369310513417478,I can’t stop laughing!! #badmoms#water#whiteclaw#daydrinking#canttalk#comedy#over40#trending#cantstopwontstop#tiktokmom#xyzbca#comedy,1589155131,6763772319904154630,Lani N Duke,6787494769074440965,Can you say water?,400,12,3,16100,0.02577639751552795
6909544692682149125,comment your fav! 🥂 #whiteclaw #alcoholicdrinks #alcohol #ratingalcohol #rating #whiteclaws #aintnolaws #aintnolawsdrinkingclaws,1608753751,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,22200,667,543,191100,0.12250130821559393
6824319624423673093,Redbubble was missing something. I think this was it. #fyp #foryou #whiteclaw #nowater #redbubble #art,1588910735,6666764198020104198,Clown bitch court,6817837301566032646,original sound,38200,2142,81,232800,0.17363831615120276
6879825637842980102,what your favorite white claw flavor says about you! Like & comment for part 2 #whiteclaw #alcohol #partying,1601834272,6750017713928717317,Audrey Peters🍒,6750908441163745281,In Da Club,35000,2032,662,344000,0.10957558139534884
6911394045679947014,Reply to @thechanchic y’all raspberry...🤢 #whiteclaw #alcoholicdrinks #alcohol #spikedseltzer,1609184338,6712189871371387909,LOUIS LEVANTI,6897097411034892290,Cry Baby (feat. DaBaby),9724,170,219,93900,0.1076996805111821
6893494204878589190,Which is it? #whiteclaw #standupcomedian #funnystandup,1605016964,6796694007345038342,Peet Guercio,6893495341694421765,original sound,27100,364,47,204000,0.1348578431372549
6818979556641262854,"Mom brought a white claw to work thinking it was a sparkling water! Lol! Nice try, you’re not fooling anyone! 😂😂😂",1587667401,6784896431579169797,𝐊.,6818980264492944134,original sound,47600,4337,279,406700,0.1283894762724367
7065039544114089262,This is your sign to watch Paris in love #parisinlove #parishilton #fyp,1644957705,6856436220354298885,Aspen Dixson,7065039514200296238,original sound,97,6,1,2194,0.04740200546946217
7122818722116521262,#zodiacsigns #whiteclaw #SplashSummerVibe #astrology #taurus #virgo #libra #aquarius #greenscreen,1658410473,6807979501986694149,Meg,7122818612678855470,original sound,109700,5582,2650,846800,0.1392678318375059
